,Price,Posting_Date,URL,Description,Rooms_and_Sqft,Nearby_Location
372,$3500,Wed 27 Nov 03:24:48 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-ready-set-hamco/7028238205.html,"Ready, Set, HAMCO","3br -
                    1310ft2 -", (101 S. 39th Street - UPENN)
373,$1385,Wed 27 Nov 03:21:51 PM,https://philadelphia.craigslist.org/sub/d/philadelphia-classic-one-bedroom/7020583622.html,Classic one bedroom apartment for rent,"1br -
                    838ft2 -", (Philadelphia)
374,$3095,Wed 27 Nov 03:22:00 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-whoa-whoa/7028236377.html,"WHOA, WHOAâ¦","2br -
                    1100ft2 -", (101 S. 39th Street - University City)
375,$3795,Wed 27 Nov 03:07:23 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-fomo-alert-click-here/7028226551.html,:: FOMO ALERT ::  CLICK HERE,"3br -
                    1310ft2 -", (101 S. 39th Street - University City)
376,$409900,Wed 27 Nov 10:41:28 AM,https://philadelphia.craigslist.org/reb/d/philadelphia-near-public-transportation/7028028636.html,Near Public Transportation! Must See: Modern 5-Unit Bldg w. Garage,, (Belmont)
377,$1275,Wed 27 Nov 10:13:02 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-authentic-studio-1-bath/7028006268.html,Authentic Studio/1-Bath features Updated Kitchen - Ready for Occupancy,, (University City)
378,$94800,Wed 27 Nov 09:58:55 AM,https://philadelphia.craigslist.org/reo/d/philadelphia-easy-money-with-this-deal/7028008986.html,Easy Money with this Deal!!!!,"5br -
                    1830ft2 -"," (3938 Aspen St, Philadelphia, PA 19104)"
379,$1200,Wed 27 Nov 09:45:41 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-move-in-immediately/7028001829.html,Move in Immediately: Fabulous 1-Bedroom with Natural Light - Pets OK!,1br -, (University City)
380,$699,Wed 27 Nov 09:28:42 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-roommate-needed-2br-2ba/7014648718.html,"âroommate needed 2BR/2BA apt near University city, Drexel, Upennâ",1br -," (university city, Drexel, Upenn)"
381,$699,Wed 27 Nov 09:28:35 AM,https://philadelphia.craigslist.org/roo/d/philadelphia-roomate-needed-in-2bed-2/7014650199.html,roomate needed in 2bed/2 bath apt  in University Cityâ,, (â university City 19104 â)
382,$1000,Wed 27 Nov 08:34:00 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-university-city-row-home/7027968613.html,ðUNIVERSITY CITY ROW HOME! 2Bd/1Ba w/ Yard & Front Porch,"2br -
                    900ft2 -", (424 N Wiota St)
383,$1000,Wed 27 Nov 08:33:50 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-university-city-row-home/7027968541.html,ðUNIVERSITY CITY ROW HOME! 2Bd/1Ba w/ Yard & Front Porch,"2br -
                    900ft2 -", (424 N Wiota St)
384,$1750,Tue 26 Nov 09:09:02 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-3-bed-2-bath/7027843326.html,3 bed 2 bath,"3br -
                    1100ft2 -", (University City)
385,$1000,Tue 26 Nov 07:57:50 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-entire-row-home-in/7027813161.html,ð ENTIRE ROW HOME in UNIVERSITY CITY!!! WON'T LAST,"2br -
                    900ft2 -", (424 N Wiota St)
386,$1000,Tue 26 Nov 07:58:26 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-entire-row-home-in/7027813421.html,ð ENTIRE ROW HOME in UNIVERSITY CITY!!! WON'T LAST,"2br -
                    900ft2 -", (424 N Wiota St)
387,$825,Tue 26 Nov 07:53:47 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-825-large-studio5min-walk/7027811347.html,$825 Large Studio_5min Walk UPenn 10min Drexel ($100 Discount) (Univer,, (University City)
388,$500,Tue 26 Nov 07:09:19 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-room-at-39xx-haverford-ave/7027789412.html,"Room at 39xx Haverford Ave, University City","1br -
                    300ft2 -", (3914  Haverford Ave)
389,$775,Tue 26 Nov 05:23:22 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-student-apartments-in/7009427086.html,Student Apartments in University City,"4br -
                    930ft2 -"," (UPenn, Drexel, USci)"
390,$995,Tue 26 Nov 05:22:00 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-available-now-wonderful/7027727105.html,"Available NOW: Wonderful 2BD/1BA with Porch, Patio, Laundry",2br -, (West Philadelphia)
391,$3500,Tue 26 Nov 04:31:18 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-hamilton-court-is/7027640064.html,ðð Hamilton Court Is,"3br -
                    1310ft2 -", (101 S. 39th Street - University City)
392,$1750,Tue 26 Nov 04:23:04 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-available-now-2-bedroom-1/7027688059.html,Available NOW: 2-Bedroom/1-Bathroom Apt with Lots of Cool Spots,2br -, (West Powelton)
393,$3795,Tue 26 Nov 04:15:35 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-prevent-the-burn-out-come/7027652270.html,Prevent the burn out â¦.  Come to HAMCO ð¥ð¥,"3br -
                    1310ft2 -", (101 S. 39th Street - UPENN)
394,$1215,Tue 26 Nov 04:14:06 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-amiable-studio-with-hw/7027681828.html,Amiable Studio with HW Flooring & Contemporary Kitchen - Must See,, (University City)
395,$3095,Tue 26 Nov 04:03:03 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-big-news-hamco/7027646369.html,ð¯ BIG NEWS: HamCo,"2br -
                    1100ft2 -", (101 S. 39th Street - UPENN)
396,$3095,Tue 26 Nov 04:00:10 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-you-asked-we-delivered/7027663048.html,You [ASKED]    ð¥   We [Delivered]    ð¥  HamCo Is Here For You!   ð¥,"2br -
                    1100ft2 -", (101 S. 39th Street - University City)
397,$1895,Tue 26 Nov 03:55:50 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-renovated-2br-in/7027669042.html,Beautiful renovated 2Br In Prime Location!  Private Balcony!,"2br -
                    1000ft2 -", (University City/ UPENN)
398,$5145,Tue 26 Nov 03:53:30 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-dont-gamble-on-your-living/7027638725.html,Donât Gamble ð² ð² On Your Living Situation [Click Here],"4br -
                    1540ft2 -", (101 S. 39th Street - University City)
399,$5795,Tue 26 Nov 03:53:12 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-hamco-just-got-waaaaaaaay/7027647839.html,HamCo just got WAAAAAAAAY better! ð¯,"5br -
                    1610ft2 -", (101 S. 39th Street - University City)
400,$1000,Tue 26 Nov 03:50:26 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-2br-1-bath-row-home-with/7027665325.html,ð 2BR/1 BATH ROW HOME WITH FRONT PORCH & YARD!,"2br -
                    900ft2 -"," (424 N Wiota St, Philadelphia, PA)"
401,$5795,Tue 26 Nov 03:43:52 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-check-out-hamco-things-are/7027642716.html,ð¥ð¥Check out HamCoâ¦ Things are HEATING UPð¥ð¥,"5br -
                    1610ft2 -", (101 S. 39th Street - University City)
402,$1100,Tue 26 Nov 03:39:13 PM,https://philadelphia.craigslist.org/off/d/philadelphia-new-commercial-space/7027660369.html,NEW Commercial Space - 4312 Lancaster Ave!,682ft2 -, (West Philadelphia)
403,$3795,Tue 26 Nov 03:26:44 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-penn-alert-hamco-is-now/7027636715.html,ð::  PENN ALERT:: ð HamCo Is Now Leasing,"3br -
                    1310ft2 -", (101 S. 39th Street - University City)
404,$1914,Tue 26 Nov 03:22:11 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-1-month-free-rent-for-1b/7020542534.html,1 Month Free rent for 1B/1BR 6 months or more for November 2019,"1br -
                    696ft2 -",
405,$5145,Tue 26 Nov 03:21:45 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-penn-click-here-while-you/7027635358.html,PENN - CLICK HERE WHILE YOU STILL CAN,"4br -
                    1540ft2 -", (101 S. 39th Street - University City)
406,$1225,Tue 26 Nov 03:16:17 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-rent-now-cool-studio-1/7027641557.html,Rent Now: Cool Studio/1-Bath with New Kitchen - University City,, (University City)
407,$1695,Tue 26 Nov 03:07:10 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-must-see-2bd-1ba-with/7027634920.html,Must See: 2BD/1BA with Shared Laundry & Modern Kitchen - Pets are OK!,2br -, (University City)
408,$1695,Tue 26 Nov 03:06:17 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-must-see-radiant-2bd-1ba/7027634284.html,Must See: Radiant 2BD/1BA with Lovely Details Throughout,2br -, (University City)
409,$1685,Tue 26 Nov 02:56:30 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-1-month-free-rent-for/7027627187.html,1 Month Free rent for leases 6 months or more for November 2019,427ft2 -,
410,$409900,Tue 26 Nov 02:49:31 PM,https://philadelphia.craigslist.org/reb/d/philadelphia-near-great-attractions/7027613002.html,Near Great Attractions! Marvelous Multi-Unit Bldg with Private Garage,, (Belmont)
411,$4015,Tue 26 Nov 02:47:43 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-1-month-free-rent-for-2b/7025106917.html,1 Month Free rent for 2B/2BR 6 months or more November 2019,"2br -
                    1433ft2 -",
412,$1720,Tue 26 Nov 02:26:20 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-renovated-unit-with-d-by/7027604276.html,Renovated Unit with W/D by Drexel University - MUST SEE,2br -, (University City)
413,$1720,Tue 26 Nov 02:25:37 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-luxury-2-bedroom-apt-in/7027603759.html,Luxury 2-Bedroom Apt in University City w. Charming Details,2br -, (University City)
414,$1914,Tue 26 Nov 02:12:50 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-1-month-free-rent-for-1b/7016055824.html,1 Month Free rent for 1B/1BR 6 months or more for November 2019,"1br -
                    696ft2 -",
415,$2179,Tue 26 Nov 01:34:38 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-microsuite/7023656373.html,Beautiful MicroSuite Available NOW!,545ft2 -,
416,$1685,Tue 26 Nov 01:33:24 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-1-month-free-rent-for/7025181964.html,1 Month Free rent for leases 6 months or more for November 2019,427ft2 -,
417,$3175,Tue 26 Nov 01:09:23 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-1-month-free-rent-for-2b/7027544403.html,1 Month Free rent for 2B/2BR 6 months or more November 2019,"2br -
                    1240ft2 -",
418,$3175,Tue 26 Nov 01:03:04 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-1-month-free-rent-for/7023836720.html,1 Month Free rent for leases 6 months or more for November 2019,"2br -
                    1240ft2 -",
419,$550,Tue 26 Nov 12:54:21 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-luxury-bedroom-in-4-bed-2/7027486297.html,"LUXURY BEDROOM in a 4 bed 2 ba apt, C/A, W/D & MORE!4001 Baring St #1",4br -, (4001 Baring St>UPenn>Drexel>West Powelton>Philadelphia)
420,$1685,Tue 26 Nov 12:24:44 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-1-month-free-rent-for/7022312969.html,1 Month Free rent for leases 6 months or more for November 2019,427ft2 -,
421,$1945,Tue 26 Nov 12:08:10 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-1-month-free-rent-for-1b/7027494795.html,1 Month Free rent for 1B/1BR 6 months or more for November 2019,"1br -
                    692ft2 -",
422,$1099,Tue 26 Nov 11:57:24 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-price-drop-drexel-upenn-2/7027486333.html,"PRICE DROP! DREXEL/UPENN 2 Bed 1 Bath w/W/D, C/A & MORE!!",4br -, (3407 Wallace St > DREXEL > UNIVERSITY CITY)
423,$1115,Tue 26 Nov 11:48:47 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-january-15-amiable-studio/7027479929.html,January 15: Amiable Studio with New Kitchen & Huge Windows - Pets OK!,, (University City)
424,$1115,Tue 26 Nov 11:50:00 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-avail-early-january-ideal/7027480849.html,Avail. Early January: Ideal Studio/1BA features HW's & Clean Finishes,, (University City)
425,$1990,Tue 26 Nov 11:45:54 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-1-month-free-rent-for-1b/7022607506.html,1 Month Free rent for 1B/1BR 6 months or more for November 2019,"1br -
                    752ft2 -",
426,$2493,Tue 26 Nov 11:33:38 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-1-bedroom/7019273566.html,Beautiful! 1 Bedroom Penthouse AVAILABLE NOW!,"1br -
                    686ft2 -",
427,$1665,Tue 26 Nov 11:06:20 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-1-month-free-rent-for/7027447965.html,1 Month Free rent for leases 6 months or more for November 2019,582ft2 -,
428,$1685,Tue 26 Nov 10:47:27 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-1-month-free-rent-for/7021781620.html,1 Month Free rent for leases 6 months or more for November 2019,427ft2 -,
429,$1685,Tue 26 Nov 10:12:45 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-1-month-free-rent-for/7025716890.html,1 Month Free rent for leases 6 months or more for November 2019,427ft2 -,
430,$3099,Tue 26 Nov 09:27:36 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-2-bedroom/7025741253.html,Beautiful 2 Bedroom Available NOW!,"2br -
                    1009ft2 -",
431,$94800,Tue 26 Nov 07:42:00 AM,https://philadelphia.craigslist.org/reo/d/philadelphia-fix-flip-or-rent-buyers/7027342625.html,Fix & Flip or Rent â Buyerâs Choice!!!,"5br -
                    1830ft2 -"," (3938 Aspen St, Philadelphia, PA 19104)"
432,$725,Tue 26 Nov 07:25:54 AM,https://philadelphia.craigslist.org/roo/d/philadelphia-3409-brandywine-furnished/7027338579.html,"3409 Brandywine furnished bdrm, split-level free WiFi  free-utilities",1600ft2 -, (University City)
433,$950,Tue 26 Nov 07:27:15 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-high-demand-spacious-2/7027338922.html,High Demand Spacious 2-story House/Apt!,3br -, (Drexel University/University City)
434,$475,Tue 26 Nov 07:06:39 AM,https://philadelphia.craigslist.org/roo/d/philadelphia-furnished-room-close-to/7027334584.html,Furnished room close to subway Drexel UPenn,180ft2 -, (West Philadelphia)
435,$725,Tue 26 Nov 06:57:55 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-3409-brandywine-3-furnish/7027332993.html,3409 brandywine 3 FURNISH BDRM shared utilities included. wash/Dryer,"3br -
                    1700ft2 -", (University City)
436,$950,Tue 26 Nov 06:07:27 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-incredible-3-bed-spacious/7027325882.html,Incredible 3 bed Spacious 2 Story House/APT - Best Location,3br -," (Shedwick st Mantua Ave , Drexel and UPenn)"
437,$420,Mon 25 Nov 11:33:31 PM,https://philadelphia.craigslist.org/roo/d/philadelphia-private-bedroom-sublet/7027271351.html,Private Bedroom Sublet,350ft2 -, (Philadelphia)
438,$1000,Mon 25 Nov 09:17:44 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-walk-to-penn-drexel-entire/7027228258.html,âï¸ WALK TO PENN & DREXEL! Entire Row Home w/ Yard,"2br -
                    900ft2 -", (424 N Wiota St)
439,$1000,Mon 25 Nov 09:06:49 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-walk-to-penn-drexel-entire/7027223756.html,âï¸ WALK TO PENN & DREXEL! Entire Row Home w/ Yard,"2br -
                    900ft2 -", (424 N Wiota St)
440,$775,Mon 25 Nov 08:12:30 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-off-campus-upenn-apartment/7009451494.html,Off-Campus UPenn Apartment,"1br -
                    930ft2 -", (University City)
441,$875,Mon 25 Nov 08:11:32 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-modern-student-apartments/7009474250.html,Modern Student Apartments w/ Private Furnished Bedrooms,"1br -
                    990ft2 -", (Drexel and UPenn)
442,$775,Mon 25 Nov 08:12:38 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-student-apartments-in/7015155625.html,Student Apartments in University City,"4br -
                    930ft2 -"," (Drexel, UPenn, USci)"
443,$875,Mon 25 Nov 08:12:48 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-student-apartments-near/7019240697.html,Student Apartments Near Drexel Shuttle,"1br -
                    990ft2 -"," (West Philly, Powelton Village)"
444,$825,Mon 25 Nov 08:12:52 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-off-campus-usci-apartment/7019242959.html,Off-campus USci Apartment,"1br -
                    930ft2 -"," (Drexel, UPenn, USci)"
445,$409900,Mon 25 Nov 08:01:20 PM,https://philadelphia.craigslist.org/reb/d/philadelphia-beautiful-place-dedicated/7027193700.html,Beautiful Place! Dedicated Multi-Unit Bldg w. Private Garage,, (Belmont)
446,$1150,Mon 25 Nov 07:53:09 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-university-city-1-bedroom/7027188223.html,University City 1 bedroom with roof deck!,"1br -
                    700ft2 -", (University City)
447,$1275,Mon 25 Nov 07:53:39 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-wonderful-studio-with/7027189868.html,Wonderful Studio with Renovated Bathroom & New Kitchen,, (University City)
448,$1200,Mon 25 Nov 07:30:52 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-superb-1-bed-1-bath-apt/7027178283.html,Superb 1-Bed/1-Bath Apt with Gorgeous Skyline Views,1br -, (University City)
449,$1000,Mon 25 Nov 07:21:51 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-2br-1-bath-row-home-in/7027173736.html,ð  2BR/1 BATH ROW HOME IN UNIVERSITY CITY!,"2br -
                    900ft2 -"," (424 N Wiota St, Philadelphia, PA)"
450,$3140,Mon 25 Nov 06:37:25 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-1-month-free-rent-for-2b/7025856171.html,1 Month Free rent for 2B/2BR 6 months or more November 2019,"2br -
                    958ft2 -",
451,$1000,Mon 25 Nov 06:03:50 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-big-2-bedroom-apt-in-west/7027129905.html,Big 2-Bedroom Apt in West Philly with Two Entrances & Den,2br -, (West Philadelphia)
452,$2279,Mon 25 Nov 05:58:10 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-marble-countertops-fully/7019173326.html,"Marble countertops, Fully carpeted bedrooms, Rooftop Deck",545ft2 -,
453,$1829,Mon 25 Nov 05:58:10 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-1-bedroom-available-now/7027126245.html,1 BEDROOM AVAILABLE NOW!,"1br -
                    632ft2 -",
454,$1665,Mon 25 Nov 05:48:57 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-1-month-free-rent-for/7021915138.html,1 Month Free rent for leases 6 months or more for November 2019,582ft2 -,
455,$1665,Mon 25 Nov 05:15:02 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-1-month-free-rent-for/7020737737.html,1 Month Free rent for leases 6 months or more for November 2019,582ft2 -,
456,$3175,Mon 25 Nov 04:55:59 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-1-month-free-rent-for-2b/7027085504.html,1 Month Free rent for 2B/2BR 6 months or more November 2019,"2br -
                    1240ft2 -",
457,$775,Mon 25 Nov 04:41:24 PM,https://philadelphia.craigslist.org/roo/d/philadelphia-drexel-campus/7024456879.html,Drexel campus,, (University City)
458,$1665,Mon 25 Nov 04:37:24 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-1-month-free-rent-for/7025904955.html,1 Month Free rent for leases 6 months or more for November 2019,582ft2 -,
459,$2179,Mon 25 Nov 04:34:42 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-microsuite-available-now/7027070670.html,MicroSuite AVAILABLE NOW! MUST SEE!,545ft2 -,
460,$1665,Mon 25 Nov 03:50:06 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-jr-1-bedroom-1-month-free/7023185287.html,Jr. 1 Bedroom 1- Month Free! University City Luxury,582ft2 -,
461,$1879,Mon 25 Nov 03:50:09 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-1-bedroom/7025862422.html,Beautiful 1 Bedroom Available NOW!,"1br -
                    651ft2 -",
462,$1400,Mon 25 Nov 03:37:09 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-3bdr-with-den-central-air/7008779986.html,"3BDR WITH DEN, CENTRAL AIR & WASHER/DRYER NEAR DREXEL UNIVERSITY","3br -
                    1416ft2 -", (Drexel Univ 3828 Lancaster Ave Apt 2)
463,$1400,Mon 25 Nov 03:37:16 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-large-newly-renovated-3/7025253299.html,LARGE NEWLY RENOVATED 3-BDR NEAR DREXEL W/ WASHER/DRYER & CENTRAL AIR,"3br -
                    1426ft2 -", (Drexel Univ 3830 Lancaster Apt 2)
464,$1750,Mon 25 Nov 03:34:09 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-amiable-2bd-apt-with-steps/7027026056.html,"Amiable 2BD Apt with Steps to I-76, I-95, I-676, and Broad St",2br -, (West Powelton)
465,$1889,Mon 25 Nov 03:34:31 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-1-month-free-rent-for-1b/7027026380.html,1 Month Free rent for 1B/1BR 6 months or more for November 2019,"1br -
                    698ft2 -",
466,$1215,Mon 25 Nov 03:19:39 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-fantastic-location/7027014859.html,Fantastic Location! Unbeatable Studio with Great Bldg Amenities,, (University City)
467,$1225,Mon 25 Nov 03:17:29 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-good-location-beautiful/7027013180.html,Good Location! Beautiful Studio with Private GYM & HW Flooring,, (University City)
468,$3140,Mon 25 Nov 03:06:57 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-2-bedroom-penthouse/7025728715.html,"2- Bedroom Penthouse University City, Philadelphia Close to Hospitals","2br -
                    958ft2 -",
469,$525,Mon 25 Nov 02:57:29 PM,https://philadelphia.craigslist.org/sub/d/philadelphia-bright-calming-room-in-2/7026997729.html,Bright & calming room in a 2 bedroom apt.,2br -, (Spruce Hill)
470,$1665,Mon 25 Nov 02:20:48 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-1-month-free-rent-for/7026968139.html,1 Month Free rent for leases 6 months or more for November 2019,582ft2 -,
471,$3014,Mon 25 Nov 02:16:53 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-2-bedroom/7026964991.html,Beautiful 2 Bedroom Available NOW!,"2br -
                    1009ft2 -",
472,$1945,Mon 25 Nov 02:03:22 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-1-month-free-studio-36th/7023152422.html,1- Month Free. Studio- 36th and Market (Close to Penn),"1br -
                    692ft2 -",
473,$1099,Mon 25 Nov 02:00:23 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-excellent-2-bed-1-bath-apt/7026879701.html,"EXCELLENT 2 BED 1 BATH APT! H/W FLOOR, A/C & MORE! 4034 BARING ST",2br -, (4034 Baring St>DrexelU>UPenn>Philadelphia)
474,$550,Mon 25 Nov 01:51:30 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-luxury-bedroom-in-4-bed-2/7026879805.html,"LUXURY BEDROOM in a 4 bed 2 ba apt, C/A, W/D & MORE!4001 Baring St #1",1br -, (4001 Baring St>UPenn>Drexel>West Powelton>Philadelphia)
475,$2238,Mon 25 Nov 01:49:08 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-bicycle-storage-room/7022634413.html,"Bicycle storage room, Billards and game room, Marble countertops","1br -
                    677ft2 -",
476,$3140,Mon 25 Nov 01:33:06 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-window-coverings-heated/7023096493.html,"Window Coverings, Heated Pool, Door Attendant","2br -
                    958ft2 -",
477,$850,Mon 25 Nov 12:51:27 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-exquisite-luxurious-home/7015625835.html,EXQUISITE LUXURIOUS HOME -HEART OF BELMONT,4br -, (WESTMINISTER AVENUE)
478,$1099,Mon 25 Nov 12:34:37 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-price-drop-drexel-upenn-2/7026879912.html,"PRICE DROP! DREXEL/UPENN 2 Bed 1 Bath w/W/D, C/A & MORE!!",2br -, (3407 Wallace St > DREXEL > UNIVERSITY CITY)
479,$94800,Mon 25 Nov 12:23:29 PM,https://philadelphia.craigslist.org/reo/d/philadelphia-add-to-your-investment/7026860441.html,Add to your Investment Portfolio Today!!!,"5br -
                    1830ft2 -"," (3938 Aspen St, Philadelphia, PA 19104)"
480,$1945,Mon 25 Nov 12:06:33 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-1-month-free-rent-for-1b/7026855205.html,1 Month Free rent for 1B/1BR 6 months or more for November 2019,"1br -
                    692ft2 -",
481,$3175,Mon 25 Nov 11:42:01 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-1-month-free-rent-for-2b/7023989884.html,1 Month Free rent for 2B/2BR 6 months or more November 2019,"2br -
                    1240ft2 -",
482,$1695,Mon 25 Nov 11:23:00 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-occupancy-is-ready/7026818855.html,Occupancy is READY: Gorgeous Renovated 2-Bed/1-Bath w. Clean Finishes,2br -, (University City)
483,$1695,Mon 25 Nov 11:21:55 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-move-in-now-terrific-2/7026817916.html,Move in Now: Terrific 2-Bedroom Great Kitchen Appliances,2br -, (University City)
484,$1240,Mon 25 Nov 11:16:51 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-available-december-1-1/7015366109.html,Available December 1! 1 Bedroom Apartment at Castle Hill!,1br -, (43rd and Spruce St. Philadelphia PA)
485,$3140,Mon 25 Nov 10:57:35 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-2-bedroom-penthouse/7026798613.html,"2- Bedroom Penthouse University City, Philadelphia Close to Penn","2br -
                    958ft2 -",
486,$1665,Mon 25 Nov 10:56:16 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-1-month-free-promo-jr-1-br/7026797653.html,1- Month Free Promo Jr. 1- Br Arrive University City-ASAP Move- In,582ft2 -,
487,$1685,Mon 25 Nov 09:59:31 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-1-month-free-rent-for/7026755713.html,1 Month Free rent for leases 6 months or more for November 2019,427ft2 -,
488,$3175,Mon 25 Nov 09:51:09 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-one-month-free-rent-on-6/7008137077.html,One Month Free Rent on 6 Month Lease or Higher 2B/2BR October 2019,"2br -
                    1240ft2 -",
489,$0,Mon 25 Nov 09:45:37 AM,https://philadelphia.craigslist.org/reo/d/philadelphia-great-land-in-fairmount-st/7019275831.html,****** GREAT LAND IN 3608-16 FAIRMOUNT ST ******,,
490,$0,Mon 25 Nov 09:41:28 AM,https://philadelphia.craigslist.org/reo/d/philadelphia-great-land-in-fairmount-st/7018601141.html,****** GREAT LAND IN 3608-16 FAIRMOUNT ST ******,,
491,$1950,Mon 25 Nov 08:57:24 AM,https://philadelphia.craigslist.org/off/d/philadelphia-avail-immediately/7026721078.html,Avail. Immediately: Unbeatable 1st-floor Corner Comm Space with BSMNT,, (PHILADELPHIA)
